Título,Link,Seção,Data
EUA passam a exigir que alunos desbloqueiem redes sociais por visto,https://g1.globo.com/mundo/noticia/2025/06/18/eua-passam-a-exigir-que-estudantes-desbloqueiem-redes-sociais-para-conceder-visto.ghtml,principal,19/06/2025
"Trump aprovou plano para atacar o Irã, mas não tomou decisão final, diz jornal",https://g1.globo.com/mundo/ao-vivo/israel-anuncia-ataque-ao-ira.ghtml,principal,19/06/2025
"Bolsonaro era o 'principal destinatário' das ações da Abin paralela, diz PF",https://g1.globo.com/politica/noticia/2025/06/18/abin-paralela-bolsonaro-era-o-principal-destinatario-de-acoes-clandestinas-na-agencia-diz-pf.ghtml,principal,19/06/2025
Abin paralela pode ter monitorado Alexandre de Moraes errado,https://g1.globo.com/politica/noticia/2025/06/18/abin-paralela-investigados-monitoraram-homonimo-de-alexandre-de-moraes-pensando-que-era-o-ministro-do-stf-diz-pf.ghtml,principal,19/06/2025
"Ex-assessor de Bolsonaro, Marcelo Câmara é preso pela PF",https://g1.globo.com/politica/blog/natuza-nery/post/2025/06/18/marcelo-camara.ghtml,principal,19/06/2025
#FATO ou #FAKE analisa imagens do conflito entre Israel e Irã,https://g1.globo.com/jornal-nacional/noticia/2025/06/18/fato-ou-fake-analisa-imagens-do-conflito-entre-israel-e-ira.ghtml,principal,19/06/2025
"Em meio a conflito com o Irã, Israel mata 140 palestinos em Gaza, diz Hamas",https://g1.globo.com/mundo/ao-vivo/israel-anuncia-ataque-ao-ira.ghtml?postId=64fd44b5-e8fd-447f-b6bf-f0c6a0d948e6,principal,19/06/2025
Fraude no INSS: governo deve ressarcir vítimas em pagamento único,https://g1.globo.com/economia/noticia/2025/06/18/fraude-no-inss-ressarcimento-deve-ser-em-pagamento-unico-e-e-estimado-em-r-21-bilhoes.ghtml,principal,19/06/2025
Brasil se declara livre da gripe aviária após caso em granja comercial,https://g1.globo.com/economia/agronegocios/noticia/2025/06/18/brasil-deve-se-declarar-livre-da-gripe-aviaria-nesta-quarta.ghtml,principal,19/06/2025
"Em operação, Procon identifica diferença de até 152% em preços de itens de festa junina em São José",https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2025/06/18/em-operacao-procon-identifica-diferenca-de-ate-152percent-em-precos-de-itens-de-festa-junina-em-sao-jose.ghtml,ultimas-noticias,19/06/2025
+Milionária hoje: resultado do concurso 260 e números sorteados,https://g1.globo.com/loterias/milionaria/noticia/2025/06/18/milionaria-hoje-resultado-do-concurso-260-e-numeros-sorteados.ghtml,ultimas-noticias,19/06/2025
