Título,Seção,Data,Link
"BC aumenta os juros pela sétima vez consecutiva, e Selic vai a 15% ao anoElevação foi de 0,25 ponto percentual; nível é o mais alto desde julho de 2006",Principal,19/06/2025,https://economia.uol.com.br/noticias/redacao/2025/06/18/banco-central-copom-selic-taxa-de-juros-inflacao.htm
"Gabinete do ódio produziu dossiês contra governo Lula em 2024, diz PF",Principal,19/06/2025,https://noticias.uol.com.br/colunas/aguirre-talento/2025/06/18/gabinete-do-odio-produziu-dossies-contra-governo-lula-em-2024-diz-pf.htm
"Irã faz novo ataque a Israel: 'Escolham morte lenta ou vida em bunkers', diz exército",Principal,19/06/2025,https://noticias.uol.com.br/internacional/ultimas-noticias/2025/06/18/ira-israel-novo-ataque-junho-2025.htm
EUA vão exigir acesso às redes sociais para conceder visto; veja o que será vetado,Principal,19/06/2025,https://noticias.uol.com.br/colunas/jamil-chade/2025/06/18/eua-exigirao-acesso-as-redes-para-dar-visto-veja-lista-do-que-sera-vetado.htm
Reportagem do UOL ganha prêmio internacional de jornalismo de viagem,Principal,19/06/2025,https://www.uol.com.br/nossa/noticias/redacao/2025/06/18/reportagem-do-uol-ganha-premio-internacional-de-jornalismo-de-viagem.htm
Advogado que gravou Cid aciona OAB e fala em criminalização da profissão,Principal,19/06/2025,https://noticias.uol.com.br/colunas/raquel-landim/2025/06/18/advogado-que-gravou-cid-aciona-a-oab-e-fala-em-criminalizacao-da-profissao.htm
"INSS vai ressarcir aposentados vítimas de golpe em uma parcela, diz ministro",Principal,19/06/2025,https://economia.uol.com.br/noticias/redacao/2025/06/18/ressarcimento-inss-parcela-fraude-agu.htm
"Realidade nos EUA, carros que rodam sem mexer no volante estão mais perto do Brasil",Principal,19/06/2025,https://www.uol.com.br/carros/noticias/redacao/2025/06/18/realidade-nos-eua-carros-que-rodam-sem-mexer-no-volante-rumam-ao-brasil.htm
"50 anos depois, Estado brasileiro vai indenizar a família de Vladimir Herzog",Principal,19/06/2025,https://noticias.uol.com.br/colunas/jamil-chade/2025/06/18/50-anos-depois-familia-de-herzog-sera-indenizada-pelo-estado-brasileiro.htm
Juristas criticam projeto que tenta proibir o uso de vídeos de câmeras corporais contra PMs,Principal,19/06/2025,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2025/06/18/comissao-aprova-projeto-que-proibe-imagens-de-bodycams-contra-policiais.htm
"Só com benefícios, parlamentares passam o mês sem precisar tocar no salário",Principal,19/06/2025,https://tab.uol.com.br/noticias/redacao/2025/06/18/congresso-de-r-15-bilhoes-parlamentares-podem-viver-com-salario-intacto.htm
"Bolsonaro usou documentos da 'Abin paralela' em live contra urnas, diz PF",Principal,19/06/2025,https://noticias.uol.com.br/politica/ultimas-noticias/2025/06/18/bolsonaro-usou-documentos-da-abin-paralela-em-live-contra-urnas-diz-pf.htm
"EUA negam pedido de asilo a fugitiva do 8 de Janeiro, diz filho",Principal,19/06/2025,https://noticias.uol.com.br/politica/ultimas-noticias/2025/06/18/eua-negam-pedido-de-asilo-a-fugitiva-do-8-de-janeiro-diz-filho.htm
"PF aponta que 'Abin paralela' espionou quase 1,8 mil celulares no governo Bolsonaro; veja alvos",Principal,19/06/2025,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2025/06/18/pf-aponta-que-abin-paralela-espionou-quase-18-mil-celulares-no-governo-bolsonaro-veja-alvos.htm
"Juiz autoriza pagamento reatroativo de R$ 3,6 milhões a procuradores da Alesp",Principal,19/06/2025,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2025/06/18/juiz-autoriza-pagamento-reatroativo-de-r-36-milhoes-a-servidores-da-alesp.htm
Cearense de 112 anos é reconhecido como o homem mais velho do mundo,Principal,19/06/2025,https://noticias.uol.com.br/colunas/carlos-madeiro/2024/11/27/cearense-de-112-anos-e-reconhecido-como-o-homem-mais-velho-do-mundo.htm
Novo acordo de Mariana de R$ 170 bi só depende de Lula para ser assinado,Principal,19/06/2025,https://noticias.uol.com.br/politica/ultimas-noticias/2024/10/19/lula-define-data-acordo-mariana-repactuacao-bilhoes-assinatura.htm
Laboratório da Justiça será usado em apuração da morte de alunos na Bahia,Principal,19/06/2025,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2024/10/19/laboratorio-mj-investigacoes-tragedia-escola-heliopolis-escola.htm
